indice_tiempo;medio_de_transporte;pais_origen;viajes_de_turistas_no_residentes
1/8/2010;Fluvial/Marítima;EE.UU. y Canadá;2098
1/8/2010;Fluvial/Marítima;Resto de América;4873
1/8/2010;Fluvial/Marítima;Europa;4999
1/8/2010;Fluvial/Marítima;Resto del mundo;927
1/8/2010;Terrestre;Bolivia;14389
1/8/2010;Terrestre;Brasil;27208
1/8/2010;Terrestre;Chile;39569
1/8/2010;Terrestre;Paraguay;47714
1/8/2010;Terrestre;Uruguay;25152
1/8/2010;Terrestre;EE.UU. y Canadá;2266
1/8/2010;Terrestre;Resto de América;7641
1/8/2010;Terrestre;Europa;16364
1/8/2010;Terrestre;Resto del mundo;3148
1/9/2010;Aérea;Bolivia;3764
1/9/2010;Aérea;Brasil;92400
1/9/2010;Aérea;Chile;25417
1/9/2010;Aérea;Paraguay;4274
1/9/2010;Aérea;Uruguay;7707
1/9/2010;Aérea;EE.UU. y Canadá;18620
1/9/2010;Aérea;Resto de América;32436
1/9/2010;Aérea;Europa;40268
1/9/2010;Aérea;Resto del mundo;11506
1/9/2010;Fluvial/Marítima;Bolivia;2719
1/9/2010;Fluvial/Marítima;Brasil;7538
1/9/2010;Fluvial/Marítima;Chile;983
1/9/2010;Fluvial/Marítima;Paraguay;4914
1/9/2010;Fluvial/Marítima;Uruguay;35988
1/9/2010;Fluvial/Marítima;EE.UU. y Canadá;1874
1/9/2010;Fluvial/Marítima;Resto de América;5187
1/9/2010;Fluvial/Marítima;Europa;4222
1/9/2010;Fluvial/Marítima;Resto del mundo;1156
1/9/2010;Terrestre;Bolivia;14018
1/9/2010;Terrestre;Brasil;33346
1/9/2010;Terrestre;Chile;66370
1/9/2010;Terrestre;Paraguay;44885
1/9/2010;Terrestre;Uruguay;30509
1/9/2010;Terrestre;EE.UU. y Canadá;2163
1/9/2010;Terrestre;Resto de América;9021
1/9/2010;Terrestre;Europa;13455
1/9/2010;Terrestre;Resto del mundo;4472
1/10/2010;Aérea;Bolivia;4178
1/10/2010;Aérea;Brasil;83289
1/10/2010;Aérea;Chile;25972
1/10/2010;Aérea;Paraguay;4901
1/10/2010;Aérea;Uruguay;8023
1/10/2010;Aérea;EE.UU. y Canadá;22580
1/10/2010;Aérea;Resto de América;35220
1/10/2010;Aérea;Europa;41016
1/10/2010;Aérea;Resto del mundo;12996
1/10/2010;Fluvial/Marítima;Bolivia;3317
1/10/2010;Fluvial/Marítima;Brasil;8343
1/10/2010;Fluvial/Marítima;Chile;1243
1/10/2010;Fluvial/Marítima;Paraguay;5611
1/10/2010;Fluvial/Marítima;Uruguay;37467
1/10/2010;Fluvial/Marítima;EE.UU. y Canadá;3057
1/10/2010;Fluvial/Marítima;Resto de América;6729
1/10/2010;Fluvial/Marítima;Europa;6984
1/10/2010;Fluvial/Marítima;Resto del mundo;1356
1/10/2010;Terrestre;Bolivia;17493
1/10/2010;Terrestre;Brasil;32879
1/10/2010;Terrestre;Chile;66044
1/10/2010;Terrestre;Paraguay;47490
1/10/2010;Terrestre;Uruguay;27560
1/10/2010;Terrestre;EE.UU. y Canadá;3654
1/10/2010;Terrestre;Resto de América;9126
1/10/2010;Terrestre;Europa;21213
1/10/2010;Terrestre;Resto del mundo;4917
1/11/2010;Aérea;Bolivia;4021
1/11/2010;Aérea;Brasil;77830
1/11/2010;Aérea;Chile;25133
1/11/2010;Aérea;Paraguay;4983
1/11/2010;Aérea;Uruguay;5809
1/11/2010;Aérea;EE.UU. y Canadá;28890
1/11/2010;Aérea;Resto de América;34333
1/11/2010;Aérea;Europa;57235
1/11/2010;Aérea;Resto del mundo;13788
1/11/2010;Fluvial/Marítima;Bolivia;3375
1/11/2010;Fluvial/Marítima;Brasil;8808
1/11/2010;Fluvial/Marítima;Chile;1056
1/11/2010;Fluvial/Marítima;Paraguay;6239
1/11/2010;Fluvial/Marítima;Uruguay;40252
1/11/2010;Fluvial/Marítima;EE.UU. y Canadá;5632
1/11/2010;Fluvial/Marítima;Resto de América;6368
1/11/2010;Fluvial/Marítima;Europa;10744
1/11/2010;Fluvial/Marítima;Resto del mundo;1842
1/11/2010;Terrestre;Bolivia;16059
1/11/2010;Terrestre;Brasil;28674
1/11/2010;Terrestre;Chile;65977
1/11/2010;Terrestre;Paraguay;47389
1/11/2010;Terrestre;Uruguay;25458
1/11/2010;Terrestre;EE.UU. y Canadá;5173
1/11/2010;Terrestre;Resto de América;11666
1/11/2010;Terrestre;Europa;36806
1/11/2010;Terrestre;Resto del mundo;7287
1/12/2010;Aérea;Bolivia;5798
1/12/2010;Aérea;Brasil;61458
1/12/2010;Aérea;Chile;21280
1/12/2010;Aérea;Paraguay;6854
1/12/2010;Aérea;Uruguay;6401
1/12/2010;Aérea;EE.UU. y Canadá;29988
1/12/2010;Aérea;Resto de América;46663
1/12/2010;Aérea;Europa;63393
1/12/2010;Aérea;Resto del mundo;14393
1/12/2010;Fluvial/Marítima;Bolivia;3322
1/12/2010;Fluvial/Marítima;Brasil;29760
1/12/2010;Fluvial/Marítima;Chile;1461
1/12/2010;Fluvial/Marítima;Paraguay;8966
1/12/2010;Fluvial/Marítima;Uruguay;33401
1/12/2010;Fluvial/Marítima;EE.UU. y Canadá;7554
1/12/2010;Fluvial/Marítima;Resto de América;8760
1/12/2010;Fluvial/Marítima;Europa;14454
1/12/2010;Fluvial/Marítima;Resto del mundo;2240
1/12/2010;Terrestre;Bolivia;23614
1/12/2010;Terrestre;Brasil;26353
1/12/2010;Terrestre;Chile;73635
1/12/2010;Terrestre;Paraguay;93029
1/12/2010;Terrestre;Uruguay;27016
1/12/2010;Terrestre;EE.UU. y Canadá;6222
1/12/2010;Terrestre;Resto de América;15989
1/12/2010;Terrestre;Europa;29606
1/12/2010;Terrestre;Resto del mundo;10917
1/1/2011;Aérea;Bolivia;6576
1/1/2011;Aérea;Brasil;97209
1/1/2011;Aérea;Chile;18854
1/1/2011;Aérea;Paraguay;5823
1/1/2011;Aérea;Uruguay;3949
1/1/2011;Aérea;EE.UU. y Canadá;39975
1/1/2011;Aérea;Resto de América;37294
1/1/2011;Aérea;Europa;77477
1/1/2011;Aérea;Resto del mundo;16315
1/1/2011;Fluvial/Marítima;Bolivia;2608
1/1/2011;Fluvial/Marítima;Brasil;47006
1/1/2011;Fluvial/Marítima;Chile;2423
1/1/2011;Fluvial/Marítima;Paraguay;6730
1/1/2011;Fluvial/Marítima;Uruguay;25498
1/1/2011;Fluvial/Marítima;EE.UU. y Canadá;12519
1/1/2011;Fluvial/Marítima;Resto de América;7711
1/1/2011;Fluvial/Marítima;Europa;20626
1/1/2011;Fluvial/Marítima;Resto del mundo;3269
1/1/2011;Terrestre;Bolivia;15823
1/1/2011;Terrestre;Brasil;39688
1/1/2011;Terrestre;Chile;114754
1/1/2011;Terrestre;Paraguay;59184
1/1/2011;Terrestre;Uruguay;24978
1/1/2011;Terrestre;EE.UU. y Canadá;7349
1/1/2011;Terrestre;Resto de América;15273
1/1/2011;Terrestre;Europa;32638
1/1/2011;Terrestre;Resto del mundo;17100
1/2/2011;Aérea;Bolivia;5279
1/2/2011;Aérea;Brasil;48061
1/2/2011;Aérea;Chile;26260
1/2/2011;Aérea;Paraguay;5585
1/2/2011;Aérea;Uruguay;4755
1/2/2011;Aérea;EE.UU. y Canadá;29779
1/2/2011;Aérea;Resto de América;23627
1/2/2011;Aérea;Europa;56799
1/2/2011;Aérea;Resto del mundo;15554
1/2/2011;Fluvial/Marítima;Bolivia;883
1/2/2011;Fluvial/Marítima;Brasil;30520
1/2/2011;Fluvial/Marítima;Chile;4326
1/2/2011;Fluvial/Marítima;Paraguay;6648
1/2/2011;Fluvial/Marítima;Uruguay;27084
1/2/2011;Fluvial/Marítima;EE.UU. y Canadá;13765
1/2/2011;Fluvial/Marítima;Resto de América;3673
